Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-30,0.78,0.67,0.59,0.96,0.62,0.41,0.53,0.45,0.64,0.28,0.62,0.01,0.19,0.44,0.97,0.73,0.2,0.12,0.1,0.11,0.45,0.93,0.65,0.37
2025-03-31,0.99,0.06,0.08,0.88,0.93,0.91,0.08,0.81,0.73,0.09,0.08,0.06,0.35,0.24,0.59,0.61,0.38,0.66,0.72,0.16,0.36,0.09,0.24,0.38
2025-04-01,0.14,0.78,0.09,0.15,0.4,0.13,0.54,0.02,0.47,0.84,0.36,0.32,0.77,0.71,0.6,0.35,0.75,0.92,0.77,0.67,0.16,0.23,0.79,0.66
2025-04-02,0.91,0.26,0.07,0.92,0.39,0.05,0.09,0.16,0.89,0.61,0.05,0.02,0.65,0.21,0.61,0.53,0.49,0.56,0.94,0.11,0.75,0.43,0.3,0.29
2025-04-03,0.11,0.25,0.89,0.49,0.71,0.25,0.89,0.42,0.27,0.19,0.02,0.04,0.07,0.61,0.28,0.66,0.39,0.53,0.87,0.97,0.92,0.66,0.06,0.51
2025-04-04,0.46,0.06,0.96,0.31,0.15,0.69,0.74,0.3,0.95,0.46,0.94,0.97,0.45,0.93,0.02,0.2,0.76,0.49,0.59,0.2,0.29,0.08,0.13,0.35
2025-04-05,0.82,0.87,0.85,0.46,0.21,0.83,0.58,0.2,0.43,0.74,0.97,0.52,0.71,0.96,0.28,0.32,0.38,0.12,0.32,0.19,0.76,0.7,0.09,0.13
2025-04-06,0.34,0.45,0.38,0.65,0.36,0.61,0.5,0.73,0.27,0.06,0.98,0.27,0.4,0.33,0.74,0.15,0.57,0.16,0.22,0.22,0.83,0.91,0.63,0.44
2025-04-07,0.93,0.43,0.63,0.64,0.66,0.87,0.15,0.26,0.75,0.96,0.91,0.77,0.71,0.62,0.43,0.12,0.21,0.35,0.36,0.28,0.93,0.9,0.54,0.81
2025-04-08,0.57,0.13,0.96,0.39,0.69,0.11,0.51,0.13,0.11,0.76,0.47,0.41,0.22,0.81,0.87,0.73,0.97,0.31,0.59,0.4,0.86,0.84,0.46,0.96
2025-04-09,0.83,0.63,0.23,0.54,0.45,1.0,0.53,0.53,0.15,0.92,0.39,0.91,0.62,0.39,0.38,0.4,0.76,0.62,0.91,0.36,0.8,0.36,0.9,0.77
2025-04-10,0.78,0.55,0.76,0.68,0.4,0.86,0.82,0.32,0.95,0.82,0.12,0.76,0.41,0.56,0.95,0.83,0.1,0.42,0.85,0.81,0.14,0.52,0.31,0.37
