Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-24,0.39,0.58,0.01,0.84,0.9,0.83,0.14,0.92,0.78,0.13,0.97,0.18,0.75,0.56,0.39,0.96,0.84,0.29,0.96,0.29,0.45,0.44,0.02,0.85
2025-03-25,0.14,0.84,0.66,0.77,0.82,0.83,0.81,0.36,0.52,0.48,0.37,0.82,0.75,0.84,0.56,0.62,0.17,0.05,0.06,0.67,1.0,0.84,0.87,0.6
2025-03-26,0.96,0.64,0.9,0.14,0.64,0.56,0.85,0.18,0.8,0.03,0.93,0.01,0.25,0.85,0.88,0.16,0.97,0.16,0.8,0.83,0.76,0.25,0.53,0.5
2025-03-27,0.87,0.47,0.38,0.7,0.15,0.48,0.56,0.11,0.23,0.89,0.57,0.99,0.66,0.45,0.19,0.86,0.02,0.22,0.35,0.99,0.37,0.93,0.84,0.51
2025-03-28,0.36,0.45,0.6,0.84,0.72,0.33,0.48,0.76,0.52,0.47,0.37,0.58,0.02,0.5,0.24,0.49,0.65,0.3,0.95,0.5,0.13,0.11,0.82,0.3
2025-03-29,0.68,0.12,0.66,0.52,0.5,0.35,0.23,0.52,0.11,0.75,0.02,0.8,0.65,0.24,0.12,0.15,0.82,0.09,0.59,0.48,0.35,0.03,0.42,0.92
2025-03-30,0.05,0.96,0.47,0.5,0.88,0.81,0.98,0.04,0.52,0.7,0.97,0.3,0.33,0.04,0.81,0.18,0.76,0.02,0.23,0.77,0.46,0.77,0.77,0.62
2025-03-31,0.47,0.08,0.23,0.69,0.81,0.72,0.44,0.67,0.97,0.42,0.04,0.41,0.96,0.78,0.27,0.75,0.59,0.67,0.45,0.48,0.89,0.96,0.44,0.5
2025-04-01,0.33,0.86,0.52,0.98,0.01,0.02,0.81,0.93,0.16,0.79,0.49,0.27,0.12,0.1,0.65,0.95,0.25,0.52,0.33,0.53,0.31,0.28,0.96,0.67
2025-04-02,0.03,0.85,0.35,0.37,0.36,0.85,0.51,0.83,0.09,0.98,0.46,0.53,0.75,0.29,0.05,0.52,0.07,0.19,0.08,0.27,0.83,0.24,0.83,0.94
2025-04-03,0.39,0.64,0.97,0.83,0.26,0.3,0.7,0.94,0.5,0.64,0.14,0.96,0.35,0.49,0.26,0.26,0.73,0.53,0.73,0.07,0.92,0.12,0.27,0.79
2025-04-04,0.49,0.86,0.76,0.92,0.47,0.73,0.88,0.49,0.83,0.37,0.59,0.52,0.2,0.42,0.01,0.25,0.1,0.6,0.05,0.19,0.74,0.87,0.1,0.01
2025-04-05,0.17,0.93,0.51,0.71,0.96,0.98,0.12,0.63,0.86,0.11,0.67,1.0,0.16,0.4,0.58,0.47,0.73,0.16,0.5,0.54,0.47,0.26,0.93,0.15
2025-04-06,0.3,0.95,0.28,0.64,0.6,0.09,0.05,0.82,0.65,0.2,0.49,0.06,0.35,0.75,0.05,0.1,0.76,0.28,0.2,0.28,0.51,0.96,0.65,0.96
2025-04-07,0.76,0.89,0.44,0.12,0.86,0.47,0.77,0.43,0.18,0.37,0.33,0.16,0.47,0.06,0.01,0.15,0.3,0.49,0.61,0.22,0.33,0.54,0.04,0.53
2025-04-08,0.81,0.48,0.64,0.32,0.14,0.13,0.98,0.44,0.93,0.49,0.2,0.72,0.83,0.51,0.73,0.3,0.41,0.68,0.02,0.84,0.92,0.19,0.61,0.29
2025-04-09,0.07,0.96,0.62,0.17,0.04,0.52,0.59,0.57,0.63,0.46,0.5,0.72,0.45,0.07,0.96,0.39,0.63,0.34,0.86,0.01,0.43,0.64,0.07,0.43
2025-04-10,0.37,0.7,0.19,0.88,0.07,0.39,0.28,0.55,0.42,0.61,0.99,0.61,0.02,0.17,0.66,0.56,0.31,0.57,0.8,0.55,0.77,0.76,0.74,0.22
