Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-30,0.48,0.89,0.05,0.5,0.06,0.67,0.1,0.28,0.53,0.43,0.82,0.76,0.87,0.21,0.68,0.62,0.61,0.57,0.14,0.71,0.64,0.61,0.86,0.31
2025-03-31,0.45,0.03,0.97,0.82,0.7,0.13,0.31,0.24,0.06,0.1,0.95,0.77,0.03,0.11,0.22,0.94,0.83,0.98,0.55,0.48,0.24,0.47,0.59,0.95
2025-04-01,0.65,0.83,0.27,0.13,0.79,0.73,0.55,0.19,0.3,0.47,0.51,0.61,0.92,0.38,0.71,0.96,0.58,0.7,0.69,0.54,0.28,0.48,0.64,0.1
2025-04-02,0.05,0.58,0.89,0.16,0.67,0.76,0.64,0.44,0.33,0.08,0.45,0.18,0.9,0.22,0.02,0.97,0.24,0.06,0.8,0.82,0.22,0.8,0.12,0.47
2025-04-03,0.41,0.51,0.06,0.73,0.75,0.65,0.13,0.75,0.98,0.65,0.46,0.61,0.87,0.62,0.11,0.54,0.01,0.49,0.87,0.63,0.21,0.29,0.9,0.92
2025-04-04,0.57,0.48,0.7,0.39,0.58,0.45,0.01,0.62,0.04,0.78,0.69,0.19,0.41,0.86,0.29,0.53,0.33,0.67,0.4,0.5,0.98,0.14,0.69,0.61
2025-04-05,0.22,0.15,0.72,0.87,1.0,0.33,0.8,0.14,0.24,0.13,0.2,0.51,0.7,0.41,1.0,0.76,0.28,0.25,0.6,0.57,0.22,0.05,0.22,0.52
2025-04-06,0.93,0.25,0.93,0.35,0.27,0.12,0.82,0.82,0.59,0.52,0.61,0.14,0.14,0.37,0.45,0.25,0.56,0.9,0.14,0.64,0.1,0.7,0.73,0.37
2025-04-07,0.2,0.24,0.51,0.4,0.92,0.38,0.08,0.17,0.25,0.42,0.58,0.48,0.11,0.52,0.78,0.88,0.29,0.93,0.64,0.84,0.57,0.36,0.73,0.64
2025-04-08,0.88,0.23,0.96,0.54,0.0,0.17,0.25,0.61,0.92,0.8,0.87,0.65,0.23,0.36,0.51,0.04,0.11,0.56,0.09,0.56,0.46,0.54,0.59,0.78
2025-04-09,0.3,0.31,0.92,0.15,0.32,0.82,0.56,0.57,0.9,0.85,0.7,0.76,0.64,0.55,0.09,0.94,0.61,0.22,0.61,0.55,0.85,0.96,0.95,0.81
2025-04-10,0.82,0.54,0.7,0.45,0.38,0.93,0.96,0.92,0.11,1.0,0.11,0.9,0.9,0.89,0.28,0.43,0.33,0.18,0.68,0.78,0.48,0.15,0.58,0.37
