Date,hour 0,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23
2025-03-26,0.27,0.75,0.81,0.1,0.04,0.27,0.85,0.9,0.65,0.87,0.75,0.98,0.56,0.07,0.05,0.19,0.72,0.44,0.55,0.93,0.1,0.84,0.59,0.84
2025-03-27,0.02,0.07,0.6,0.98,0.14,0.01,0.71,0.4,0.57,0.71,0.86,0.94,0.41,0.26,0.71,0.14,0.77,0.81,0.82,0.62,0.01,0.78,0.01,0.09
2025-03-28,0.81,0.98,0.85,0.69,0.35,0.93,0.04,0.96,0.92,0.4,0.31,0.25,0.69,0.66,0.35,0.23,0.44,0.05,0.44,0.26,0.9,0.22,0.47,0.79
2025-03-29,0.06,0.76,0.85,0.56,0.16,0.5,0.58,0.36,0.2,0.92,0.65,0.74,0.49,0.45,0.61,0.82,0.54,0.97,0.98,0.49,0.06,0.79,0.82,0.86
2025-03-30,0.29,0.02,0.33,0.57,0.99,0.3,0.83,0.25,0.95,0.07,0.93,0.49,0.82,0.23,0.44,0.36,0.15,0.59,0.68,0.57,0.97,0.84,0.02,0.27
2025-03-31,0.2,0.06,0.26,0.12,0.85,0.57,0.2,0.19,0.85,0.24,0.61,0.99,0.05,0.4,0.22,0.06,0.84,0.26,0.19,0.21,0.18,0.47,0.89,0.56
2025-04-01,0.39,0.72,0.56,0.23,0.41,0.14,0.78,0.59,0.16,0.96,0.82,0.64,0.28,0.11,0.78,0.76,0.85,0.68,0.47,0.95,0.38,0.09,0.4,0.46
2025-04-02,0.78,0.4,0.4,0.04,0.06,1.0,0.16,0.66,0.71,0.68,0.62,0.17,0.53,0.88,0.02,0.54,0.73,0.33,0.65,0.07,0.99,1.0,0.86,0.43
2025-04-03,0.13,0.52,0.35,0.54,0.68,0.48,0.43,0.82,0.66,0.44,0.65,0.61,0.62,0.02,0.55,0.07,0.37,0.3,0.56,0.44,0.4,0.26,0.99,0.56
2025-04-04,0.39,0.57,0.53,0.14,0.58,0.8,0.26,0.91,0.5,0.54,0.43,0.78,0.85,0.31,0.14,0.13,0.02,0.56,0.47,0.91,0.49,0.21,0.64,0.31
2025-04-05,0.17,0.62,0.39,0.98,0.62,0.88,0.66,0.86,0.29,0.28,0.79,0.88,0.09,0.07,0.52,0.88,0.3,0.68,0.72,0.1,0.49,0.87,0.11,0.74
2025-04-06,0.74,0.63,0.84,0.67,0.73,0.29,0.32,0.14,0.42,0.84,0.16,0.14,0.52,0.87,0.88,0.82,0.57,0.56,0.06,0.21,0.93,0.35,0.93,1.0
2025-04-07,0.48,0.94,0.46,0.3,0.49,0.82,0.05,0.27,0.16,0.19,0.15,0.02,0.68,0.58,0.33,0.95,0.12,0.95,0.68,0.21,0.17,0.03,0.29,0.73
2025-04-08,0.53,0.24,0.93,0.7,0.6,0.34,0.88,0.34,0.84,0.02,0.09,0.73,0.26,0.46,0.08,0.8,0.58,0.73,0.44,0.64,0.4,0.57,0.14,0.66
2025-04-09,0.06,0.35,0.77,0.85,0.13,0.62,0.43,0.45,1.0,0.92,0.3,0.43,0.44,0.58,0.32,0.98,0.38,0.46,0.75,0.44,0.27,0.98,0.18,0.57
2025-04-10,0.58,0.03,0.12,0.93,0.7,0.48,0.8,0.68,0.82,0.72,0.07,0.17,0.17,0.56,0.07,0.5,0.64,0.2,0.83,0.21,0.14,0.02,0.44,0.39
